subject,description
Apponfly Platform / New User Acerrboni Kevin,"Good morning everyone,

 

I hope everything is fine.

 

I share the sheet with the request for one user: Kevin Acerboni. He is already registered into Apponfly portal.

 

https://docs.google.com/spreadsheets/d/1BJm4h6xE06VoVrANFNKtxECi3UZEH8AT/edit?gid=1711499324#gid=1711499324

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Apponfly OVB Request Users to delete,"Good Morning,

 

I updated the spreadsheets here below with 18 user to delete.

https://docs.google.com/spreadsheets/d/1BJm4h6xE06VoVrANFNKtxECi3UZEH8AT/edit?gid=1711499324#gid=1711499324

 

The user to delete are the following:

 

Cognome

Nome

Email

Enabled - date

Extension - date

Image version

Subscription state

Subscription state

Donnola

Alberto

alberto.donnola@ovbsales.it

29/09/2023

0.4

Deleted

18/11/2024

Buscaglia

Pasquale

Pasquale.Buscaglia@ovbsales.it

30/09/2023

0.4

Deleted

18/11/2024

Correa Perez

Maria Carolina

carolina.correa@ovbsales.it

30/09/2023

0.4

Deleted

18/11/2024

Finco

Nicolò

Nicolo.Finco@ovbsales.it

30/09/2023

0.4

Deleted

18/11/2024

Lorenzin

Denis

denis.lorenzin@ovbsales.it

30/09/2023

0.4

Deleted

18/11/2024

Marin

Chiara

chiara.marin@ovbsales.it

30/09/2023

0.4

Deleted

18/11/2024

Pattaro

Alessandro

Alessandro.Pattaro@ovbsales.it

30/09/2023

0.4

Deleted

18/11/2024

Youssfi

Aymen

aymen.youssfi@ovbsales.it

30/09/2023

0.4

Delete

18/11/2024

Zykaj

Alieda

alieda.zykaj@ovbsales.it

30/09/2023

0.4

Delete

18/11/2024

Gropppi

Nicholas

nicholas.groppi@ovbsales.it

30/09/2023

0.4

Delete

18/11/2024

Liuzzi

Francesco

francesco.liuzzi@ovbsales.it

30/09/2023

0.4

Delete

18/11/2024

Haxhiaj

Herald

Herald.Haxhiaj@ovbsales.it

24/04/2024

0.4

Delete

18/11/2024

Ibra

Taulant

taulant.ibra@ovbsales.it

06/05/2024

0.4

Delete

18/11/2024

Minello

Piergiorgio

piergiorgio.minello@ovbsales.it

18/07/2024

0.4

Delete

18/11/2024

Mazzeo

Andrea

andrea.mazzeo@ovbsales.it

18/07/2024

0.4

Delete

18/11/2024

Sarri

Alberto

alberto.sarri@ovbsales.it

18/07/2024

0.4

Delete

18/11/2024

De Zisa

Pier Luca

pierluca.dezisa@ovbsales.it

18/07/2024

0.4

Delete

18/11/2024

Cassia

Matteo

matteo.cassia@ovbsales.it

18/07/2024

0.4

Delete

18/11/2024

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
IP address limit,"My apponfly trial is saying I have reached the IP limit and is saying that I have a whole bunch of trials set to my IP address, when I haven't been on apponfly today.

- Luke Witt

11/18/24"
Trials assigned for your IP address 116.98.3.104:,"Deleting all

Unfortunately, all trials are busy. Please subscribe or wait for next free slot.

Start free trials

Helper me this and please start

Thank you"
My node operator not able to recognize your IP address,"I am trying to use my node, but it says that it cannot bind your IP address. Please see below attached screenshot. Do you have other IP addresses?"
Inquiry About Changing Email Address Associated with My Account,I am considering changing the email address associated with my account and would like to know if this is possible. Could you please let me know if email address changes are supported for user accounts?
IP limit/Sign in not working,"I was just trying to get onto app.apponfly.com/trial and it let me in, but it said the password was incorrect. Then the server disconnected, and then didn't let me back in."
Internet very slow,Internet very slow please check
VPS location is too far,"Hi,

I signed up for your VPS, and found out that it is too far from where my node is running. It is not going to work for me.

Can you kindly refund the $46 to me please. I set it up yesterday and it just not working.

Thanks"
impossible for me to connect to the VPS,"impossible for me to connect to the VPS, the ""Power"" button has been refreshing for over an hour continuously and remains unclickable as well as my ""Connect"" button"
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1843,29 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\41\A9R1ixoo67_vufo6u_3ns.tmp.
Owner of the source of the notification AOF\hani.probost."
help,hi can you delete my apponfly accounts as shown in the pictures thanks
Vps didnt work for 5 days,Why does this keep happening
Kdkdkddkdk,Ekoeoeksksk
math,I wish that Roblox can be unblocked on a school chrombook
VPS Super super slow?,I just bought the gold package for 250 hours it is so slow to the point where i cant even use it? is there a fix to this i'am using the browser version.
for gaming,"hello, i am confused on what to buy here

i am looking for a cloud vm with gpu so i can play some games from steam please help me what do buy.
 i am looking for unlimited per month ."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,42 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\load_statistics.db-wal.
Owner of the source of the notification AOF\hani.probost."
didnt get email with UDP port and IP,need the email im supposted to get with the details for how to connect to vps
Subscription Charge,"Hello,

I was charged for a renewed subscription, however my subscription was not renewed. Can someone please look into this?

Account: 2duynguyen9@gmail.com

Card ending in 3224"
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1843,22 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache\js\61affe94ecab69ae_0.
Owner of the source of the notification AOF\hani.probost."
help,"hi can you delete my apponfly accounts? my old email was deleted & i cant login my email is esetblk100@gmail.com esrtblk105@gmail.com

thanks"
Responsible Disclosure,"Hello,

I found a severe security vulnerability in your web application.

Do you have any bug bounty program or responsible disclosure for vulnerability reporters ?

kind Regards

Jobert Evans"
Re: [AppOnFly] Re: VM Is not starting,"This is a follow-up to your previous request #2020 ""VM Is not starting""

It works!"
Почасовая оплата,Как купить время на использование виртуального сервера?
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1844,16 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\42\{0F317427-0DD8-4CAB-B992-72858594B38D}\Program\MonS3.exe.
Owner of the source of the notification AOF\hani.probost."
for gaming,"hello , i am looking for cloud vm so i can play game from steam , download and play

what to buy ? i am looking for unlimited plans or sub per month"
Connecting to RDP,Hello. I had purchase AppOnFly. Also i would like to connect VPS to my computer via RDP. Is there any way i can connect it?
Card charged for Subscription,"Hello,

I tried to renew my subscription and my card was charged, however my subscription was not renewed. Can someone please look into this for me?

Account: 2duynguyen9@gmail.com

Card ending in 3224"
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1853,37 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\46\{9E1AD9AD-B6F2-4CA5-A417-6FE58C067AA0}\Bin\Seyfor.BankAgregator.Api.zip.
Owner of the source of the notification AOF\hani.probost."
Vps turning off immediatly when turned on,From yesterday onwards i am trying to connect my vps but when opened it gets turned off instantly i have also read i can;t connect my vps article but i dont want to reset my vps so please help
Factory Reset,"The problem has not been solved and it is still like this. Please help me.

 ![](https://apponfly6713.zendesk.com/attachments/token/LLcuqBBY3eQ2W5LyvpEXPV9Ma/?name=Screenshot+2024-12-04+103832.png)"
"If I have an account, delete it.","facebook id 709037489267923

If I have any memberships in these emails, delete them. Also, if I have a membership in Facebook ID, I want it to be deleted.

volkann29000@gmail.com
Isyankar_160@hotmail.com
Meskina_16@hotmail.com
volkan29000@hotmail.com
volkann29000@hotmail.com
sisimorkorkmaz@gmail.com
ozturk_volkan29@hotmail.com"
Connecting to RDP,Hello. I had purchase AppOnFly VPS and i would like to connect my VPS to my computer via RDP. Is there any way i can connect? because i don't see any RDP download file as shown on the tutorial on Youtube.
Request for Custom Proxy Configuration on VPS  ,"Dear Team,

I am interested in purchasing a Windows VPS from your service and have a specific requirement. I have my own proxy with a dedicated IP, and I would like the VPS to use this proxy IP at the system level before I access it.

This means the VPS should be pre-configured to route all traffic through my proxy so that the proxy IP is visible without requiring any additional setup while I use your VPS product.

I will provide the details of my proxy:
- Proxy IP
- Port
- Authentication (Username & Password)

Please let me know if this is something your team can configure during the VPS setup. If possible, I would also appreciate any additional details or steps required to make this happen.

Thank you for your assistance, and I look forward to your response.

Best regards,
Arthur Dal
arthurdal020@gmail.com"
Factory Reset,"I did a Factory Reset and my VPS is still in this state as in the picture for a very long time. What is the matter? Fix it. I am an old customer of yours.

 ![](https://apponfly6713.zendesk.com/attachments/token/IGyIeZAAvaJJTpuieq6jpYnYY/?name=Screenshot+2024-12-04+072016.png)"
RAM,there is only one gb ram intalled . i subscribed for 8gb Ram . please reset RAM again . this is putting loiadon vps
can't connect ops to Microsoft desktop,microsoft desktop no longer exists and the app that replaced it is not ssupported on my mac. i tried downloading other apps but it wont work
Ads Offer,"Hello, we have a discord server with 400 thousand people and we are advertising. If you want, we can also advertise your site. There are all kinds of members on our server. We have advertised for Vds-vps/hosting/domains/proxy/crypto/nft companies many times and by making agreements with new companies, we ensure that our members benefit from good companies and we are trying to gain you customers. Our 1 month advertising price is currently 100 dollars, accepting payment via crypto.

discord server link: discord.gg/nftt

NOT:
1. We do not deal with affiliate programs

How to run ads:
We will open a special channel on your site name and we will pull that channel to the top and we will publish the advertising text you have presented to us. We will ping @everyone @here so that all our members can receive notifications."
80% quota threshold exceeded for the folder C:\Users\aspp\ on server AOF0279!,"Quota threshold 80% exceeded for folder C:\Users\aspp\ on server AOF0279. The quota limit is 2048,00 MB, and 1670,05 MB currently is in use (81% of limit).
Source of notification: C:\Users\aspp\AppData\Local\Adobe\ARM\Reader_24.004.20272\BITBDCE.tmp.
Owner of the source of the notification AOF\aspp."
pouizgbcc,#### 66
"If I have any memberships in these emails, delete them. Also, if I have a membership in Facebook ID, I want it to be deleted.","If I have any memberships in these emails, delete them. Also, if I have a membership in Facebook ID, I want it to be deleted.709037489267923

volkann29000@gmail.com
Isyankar_160@hotmail.com
Meskina_16@hotmail.com
volkan29000@hotmail.com
volkann29000@hotmail.com
sisimorkorkmaz@gmail.com
ozturk_volkan29@hotmail.com

I want all my data deleted"
Please help me,"I bought the $6 VDS option but it doesn't work, the site I use immediately understands me and blocks me, there was no such problem with the free trial option."
Its been a day and it still shows vps limit,Can you give me vps please i need to do something.
Ads Offer,"Hello, we have a discord server with 400 thousand people and we are advertising. If you want, we can also advertise your site. There are all kinds of members on our server. We have advertised for Vds-vps/hosting/domains/proxy/crypto/nft companies many times and by making agreements with new companies, we ensure that our members benefit from good companies and we are trying to gain you customers. Our 1 month advertising price is currently 100 dollars, accepting payment via crypto.

discord server link: discord.gg/nftt

NOT:
1. We do not deal with affiliate programs

How to run ads:
We will open a special channel on your site name and we will pull that channel to the top and we will publish the advertising text you have presented to us. We will ping @everyone @here so that all our members can receive notifications."
auto close,"VDS remained on even though I had not used it for 45 hours. When I want to connect, the connect button does not work. Even though I don't use it, it expires, can you check it?"
When i open the link there is always an error and then I reach my limit,I open the link but there is always an error and then when I go too try again I reach my limit after doing it once.
Roblox,Hi can i play on roblox with your servers?
aamlsh1234567890,    nb nm
please remove trial limit,its annoying
New Subscription Zuccarello,"Hello,

 

can you please create a new subscription for the user Zuccarello Anna?

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail.

 

 

 

 


Dott.sa ANNA ZUCCARELLO

FINANCIAL CONSULTANT


OVB Ufficio di:

Villorba (TV), Viale della Repubblica 22


Telefono: +39 3452208623
p.iva: 04990390264



Web: www.ovb.it / www.ovb.eu
Mail: anna.zuccarello@ovbsales.it


 


        



OVB Consulenza Patrimoniale Srl opera in qualità di Agenzia mandataria di American Express Italia S.r.l.





     



     



    




             

 Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati. La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679. Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
80% quota threshold exceeded for the folder C:\Users\aspp\ on server AOF0279!,"Quota threshold 80% exceeded for folder C:\Users\aspp\ on server AOF0279. The quota limit is 2048,00 MB, and 1795,96 MB currently is in use (87% of limit).
Source of notification: C:\Users\aspp\AppData\Local\Adobe\ARM\Reader_24.005.20307\BIT9F9C.tmp.
Owner of the source of the notification AOF\aspp."
Apponfly,"Subscribed apponfly 30 minutes



Email: dragoneatsvore@gmail.com"
you stupid nig,nignignignignigninigingnigniniga
vps not vetter plese refund,sir vps rdp not better plese refund sir hame chahiye rdp runing
vps not vetter plese refund,sir plese refund rdp vps chahiye
THE VPS LIMIT RUINT MY LIFE,I CANT DO ANYTHING
Data recovery,"Are you able to backup all my data on the top VPS I have please? By that I mean the one on the top of the screen. Even better, do you have any method of fixing it so I can login? I think it might be unable to login due to the VPN kill switch on nord VPN. Thanks."
Trial limit for your IP address has been reached. Please subscribe or wait for the next free slot. ,"Trials assigned for your IP address 116.98.2.152:

16/12/2024, 18:47:06

16/12/2024, 19:08:35

16/12/2024, 19:10:23

16/12/2024, 19:12"
Mmmmmm,Jjjkkjbjjh
User Lorenzoni Martino,"Hello,

the user Lorenzoni Martino can not make the access to Apponfly.

Can you please check it?

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
payment,"This invoice can no longer be paid to Stripe. Contact the dealer AppOnFly s.r.o. (support@apponfly.com) , who will arrange an alternative method to pay this invoice or who will issue a new invoice.

9,90 €

Προς    LAZAROS TSELEPIDIS
Από    AppOnFly s.r.o.
Τιμολόγιο    Αρ. AOF-30730
Σημείωμα    Thanks for your business!

i need a new alternative method to pay this invoice"
error facture reset  ,I have done a factory reset for my device (vps) and for more than 5 hours it has not been completed and has not returned to work. Please respond quickly.
New Subscription Callà Davide,"Hello,

 

can you please give to the user Davide Callà a new Subscription?

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail.

 

Da: Callà, Davide <davide.calla@ovbsales.it>
Inviato: mercoledì 18 dicembre 2024 11:38
A: casella portafoglio-nord <portafoglio-nord@ovb.it>
Oggetto: rinnovo APP ON FLY

 

​Buongiorno,

 

Chiedo rinnovo piattaforma (allego screen)

 

Grazie

 

 

 

Davide Callà

Financial Consultant

Ovb Consulenza Patrimoniale srl

 

Via Istria 3/f, 25125, Brescia (BS)

 

Cell:   338-2869764

Mail:  davide.calla@ovbsales.it

Web: www.ovb.it (http://www.ovb.it)"
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1856,02 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\74\SPLFC57.tmp.
Owner of the source of the notification AOF\hani.probost."
Jj,Rr
Refund,"Hello,

I m Hoping to buy 100 hour plan.

I just need to run IP Vanish VPN and 2,3 Browsers.

If the Machine Lags or Not Respond Fast Enough , Can I get a Refund ?

Thanks,

Madhawa"
vps not vetter plese refund hame sir chorme par nahi chahiye vps login,vps not vetter plese refund hame sir chorme par nahi chahiye vps login
User Meloni Emmanuel,"Hello,

the user Meloni Emmanuel can not make the access to Apponfly.

Can you please check it?

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Re: [AppOnFly] Re: Vps turning off immediatly when turned on,"This is a follow-up to your previous request #2068 ""Vps turning off immediatly ...""

Hello , I having the same program now as in between it was fixed but now no matter in whatever rdp I try to connect whether the auto turn off feature is on or not it shows me the remote desktop server is currently unreachable again and again
Get Outlook for Android<https://aka.ms/AAb9ysg>"
Jj,Ogoogogogobobobobo
reset vps to factory settings,"Hello, I wrote to you about my VPS, because after restoring factory settings it did not work and a message was displayed that it was resetting, I received a reply that everything should be fine, but it still does not work, please repair or refund my money."
ALL THE TIME,DUDE BEEN A WEEK
Windows,I want Remote Desktops to be available forever
flee trial,"Hello.　I am a regular user of app of fly's free trial service.
However, for some reason, I am experiencing a bug that prevents the free trial service from starting after a number of minutes.
This bug does not give me an error that there is no trial machine available, it just keeps loading.
I am bored(:D) because I can't do my hobby of looking for images(:D).
Please improve it.

Translated with DeepL.com (free version)"
RDP details not showing,"Hi RDP details are not showing please solve my problem

Thank you"
"unfortunately, all trials are busy. Please subscribe or wait for next free slot.",subscribe now
flee trial,"Hello.　I am a regular user of app of fly's free trial service.
However, for some reason, I am experiencing a bug that prevents the free trial service from starting after a number of minutes.
This bug does not give me an error that there is no trial machine available, it just keeps loading.
I am bored(:D) because I can't do my hobby of looking for images(:D).
Please improve it.

This text was translated by DeepL"
Windows 11,"#### `https://Windows 10`

####"
Windows,My Simulator Doesn't Work! Some Internal Guacamole Error
Trial limit for your IP address has been reached. Please subscribe or wait for the next free slot,"Trials assigned for your IP address 2402:800:629e:8439:7c09:5968:8b39:7911:

19:12:57 27/12/2024

19:34:03 27/12/2024

19:35:21 27/12/2024

19:37:53 27/12/2024"
Not showing RDP details,"Hi I want to RDP details but it's not showing there

Thank you"
Windows Server 2025,"Windows Server 2025 has been released as a new server product and is the first version to have ARM64 support in terms of CPU architecture aswell, Do you have plans on migrating from 2022 → 2025 in future?

Learn more here: learn.microsoft.com/en-us/windows-server/get-started/whats-new-windows-server-2025

And if this is accepted, will this appear in the free trial variant of AppOnFly in general also? Would love to hear your response on this version of Windows."
I want consistent resolution ,"Hi I want to put same resolution if i opened in any device how can I do that

Thank you 😊"
REFUND, hi i dont like this VPS i want refund please send my amount back.
I don't think this will work for me,"After trying to download world of warcraft I just don't think this is going to work for me.  I just bought my subscription, is it possible to cancel please?"
I can't access the free trial,"Hello, I was trying for a whole day to access the free trial using but I keep getting “Looking for a trial machine...” any problem or how to fix this?"
Country ,"Which  country is  buy location VPS.

I buy USA country VPS location.

Please can help me."
"The connection has been closed because the server is taking too long to respond. This is usually caused by network problems, such as a spotty wireless signal, or slow network speeds. Please check your network connection and try again or contact your syste","The connection has been closed because the server is taking too long to respond. This is usually caused by network problems, such as a spotty wireless signal, or slow network speeds. Please check your network connection and try again or contact your system administrator."
Windows Server 2025,"Windows Server 2025 has been released as the new server product. Are there plans on migrating from 2022 (current VM image) → 2025? If yes, will this also appear in the free trial variant of the image? would love to hear a response on this update.

Learn more here: https://learn.microsoft.com/en-us/windows-server/get-started/whats-new-windows-server-2025

Also this version of Windows now supports ARM64 which removes restriction of having to use AMD64 as the CPU architecture everytime."
ok,so idk
Free Windows VPS,My Windows won't start. Normal white screen. You said Setup in 30 seconds. But more than 30 seconds have passed and it still won't start. I still have Work for more than 19 minutes. Then the Simulator turns off for me. Need 6 Hours to Work I Can't Do Anything Even Safe Virus Tin.exe I Can't Turn It On 3 Times When There Is a Virus the System Immediately Shuts Down After the Time Ends! Fix this!!!!!!!!!
free trial consistently does not work,"i got it working multiple times, but after 2 tries of getting onto apponfly's free trial, the message appears that it does not work and it will reconnect in 15 seconds. However, it does not work still. It has done this for the past week and I try about once a day. If you have any fixes, please let me know! Thank you."
Trials not working,they are never responding
apps,if I download apps wiill I have to reinstall them everytime I use app on fly>?
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1843,24 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\4\Inisoft\ISEnvita\Update\IsEnvitaCz.exe.
Owner of the source of the notification AOF\hani.probost."
vps,"Hello, I have a problem because I had an error with my VPS and I lost 90 hours on it and one support person wrote to me that I will have a new machine when the previous one runs out and I don't have the new one"
reset vps to factory settings,hi i click to reset vps to factory seetings 2 hours ago and i still wait for reset my vps pleas help
Wrong Purchase,"Hey, I accidentally purchased the VPC twice can you help me with that?"
Re: Wrong Purchase,Can you help me with any solution.
Remot desktop ,My device information is not showing remot desktop
Country ,"Which country is VPS location sold me.

I buy USA country VPS location.

Please help me."
Roblox.co,Oi
Can't access free trial,"Hello, i was trying a whole day to access the free trial using this link https://app.apponfly.com/trial , but i keep getting “Looking for a trial machine...” any problem? or how to fix this?"
Query,"Hello. I want to get access to the trial period of a certain software and i was able to get the access many times bcoz of the apponfly trial feature as it gave me a different rdp everytime i signed up for trial.

Wht i want to know is tht if i sign up for 100 hrs paid package, can i get different rdp's on request?"
I made a mistake in choosing a country. I could have chosen Japan or Singapore.,I made a mistake in choosing a country. I could have chosen Japan or Singapore.
Wrong Purchase,I have accidentally purchased 2 VPS can you help me with a refund.
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1849,63 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\9\SPL6750.tmp.
Owner of the source of the notification AOF\hani.probost."
"It's 10 minutes for me, not 60 minutes ","The duration is 10 minutes, not 60 minutes. I hope you can solve a problem and make it 60 minutes"
kevin.wong.hi.11@gmail.com,"hi, i tried the free trial and it consistently does not work. The message appears that it will reconnect in 15 seconds. This happened for the past week and i tried once a day. i have accessed free trial twice, then it stopped working afterwards. if you have a fix, let me know please, thanks!"
R: [AppOnFly] Re: User Lorenzoni Martino,"This is a follow-up to your previous request #2095 ""User Lorenzoni Martino""

Good afternoon,

 

the user still has the problem trying to connect himself. Can you please check?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
vps,Your Vps is not fast at all. it's very slow and won't load my pages. Why?
Subscription,"Hey
I bought a vps with 8 GB ram
but I got one with only 1GB ram
can u help me please?
 ![](https://gyazo.com/30f12557a1041010e269c2793e9a9094.png)
https://gyazo.com/30f12557a1041010e269c2793e9a9094
 ![](https://gyazo.com/923ebfec0df5902e08a2d72c5286708c.png)
https://gyazo.com/923ebfec0df5902e08a2d72c5286708c"
app on fly never works,when ever i try to enter the apponfly app it tells me that theres a trial in use no mayter how many time i come back too see the progress or
troubleshot,i have also reset it many times but it is giving this fault again and again.. no machine work properly for me
